#{"t_start": 1648261826.6046648, "env_id": "HummingbirdHoverTaskEnvPPO-v2"}
r,l,t
158.787195,312,5750.304574
362.222511,522,5760.889137
447.042215,590,5774.197079
139.380379,275,5779.849916
441.538802,575,5791.504633
348.682026,485,5801.344509
362.008783,521,5813.198542
244.724043,383,5820.973537
153.196895,305,5827.216084
161.711624,325,5833.820252
163.596985,310,5840.124873
250.781116,405,5849.622783
-100,1,5849.735418
461.89753,621,5862.265311
444.355477,587,5874.111558
-100,1,5874.231807
274.903248,446,5883.27634
509.413575,713,5898.843597
-100,1,5898.950475
338.905901,480,5908.719735
465.555033,632,5921.466868
355.029488,509,5931.753485
-100,1,5931.883862
245.654527,390,5941.117916
340.116001,475,5950.763075
-100,1,5950.882331
235.233901,377,5958.527021
348.287431,484,5968.353224
360.299755,523,5980.229733
265.887257,423,5988.843625
239.023915,380,5996.618504
136.899258,271,6002.149966
381.23592,572,6013.744847
346.583238,483,6024.720201
474.028325,642,6037.710581
449.094408,585,6049.555437
-100,1,6049.677323
345.048354,482,6059.452266
334.051816,479,6070.406822
444.658932,578,6082.111635
-100,1,6082.253915
345.591456,494,6092.270724
365.082331,526,6102.914531
257.614052,421,6112.740311
460.93533,617,6125.257611
-100,1,6125.388125
152.325713,287,6131.259929
139.650563,274,6136.852737
133.86431,271,6142.396629
248.805002,406,6151.869521
387.422479,489,6161.776471
403.326943,505,6172.020874
431.90186,568,6183.549028
242.725035,378,6192.513716
343.229293,477,6202.207031
457.962706,617,6214.695203
151.938855,286,6220.527183
363.570244,527,6231.17217
252.923821,408,6240.736995
157.302448,317,6247.201801
-100,1,6247.321826
154.431277,304,6253.534785
237.815976,373,6261.107831
-100,1,6261.259892
442.455209,578,6272.954913
439.592084,576,6285.850973
161.211143,304,6292.045666
347.598143,486,6301.891557
247.914084,380,6309.614433
459.392962,615,6323.261423
144.901693,278,6328.932098
148.045943,280,6334.686286
-100,1,6334.794899
359.322811,526,6345.413183
461.935449,623,6358.030528
-100,1,6358.160169
244.852058,301,6365.58519
473.696006,652,6378.76935
259.199209,417,6387.26592
281.72046,455,6396.488959
354.641747,509,6408.026453
189.701296,371,6415.550569
-100,1,6415.659978
446.207113,581,6427.419605
366.591947,523,6438.04306
-100,1,6438.14927
149.172468,297,6444.256387
347.998544,487,6455.363029
160.524665,324,6461.995962
10.570744,112,6464.377137
-100,1,6464.495139
339.369788,476,6474.113156
-100,1,6474.243337
168.054125,312,6480.626169
112.451619,214,6485.05632
342.763247,476,6495.885376
360.366434,518,6506.361274
257.559627,418,6514.841615
-100,1,6514.949722
134.727446,270,6520.465479
-100,1,6520.596398
250.205863,388,6528.489614
353.219293,514,6540.126525
243.217449,378,6547.828864
-100,1,6547.949007
249.293507,383,6555.785762
-100,1,6555.891585
370.391358,535,6566.719638
168.314036,327,6573.404814
-100,1,6573.515075
457.932958,610,6587.042488
473.076906,636,6599.922055
377.464212,526,6610.562845
154.516205,315,6616.989217
342.014484,477,6627.944473
-100,1,6628.064676
237.115068,371,6635.629901
161.181093,312,6641.982243
158.399408,306,6648.245641
359.475113,519,6658.751309
158.284966,317,6666.523064
-100,1,6666.641915
268.062355,451,6675.778445
151.675491,303,6681.952305
341.40969,480,6691.677877
354.427488,509,6702.012867
449.521585,582,6715.051348
388.855666,482,6724.863005
165.565199,328,6731.569417
-100,1,6731.698375
373.318409,541,6742.634785
461.888189,627,6756.561576
163.056213,327,6763.273812
-100,1,6763.405931
144.030871,287,6769.276637
390.369108,492,6779.263578
361.780482,524,6789.840513
140.056598,276,6796.701074
-100,1,6796.811004
345.458066,491,6806.756364
285.415444,470,6816.262227
-100,1,6816.372526
165.837463,327,6823.042357
366.299051,531,6833.772681
273.53501,449,6844.237535
347.694047,486,6854.065277
184.423561,286,6859.924591
246.143024,385,6867.738765
-100,1,6867.870486
473.486525,628,6881.75662
-100,1,6881.876315
482.842911,669,6895.375265
455.429822,609,6907.669793
-100,1,6907.821499
338.851446,478,6917.506627
162.599029,319,6925.189381
237.817603,283,6930.97371
142.922572,279,6936.717284
377.586033,541,6947.670563
145.826902,280,6953.413942
441.547809,579,6966.328804
363.635724,526,6976.988392
360.442974,510,6987.312744
248.335389,385,6995.125236
295.496235,397,7003.171665
356.043151,510,7014.677665
349.496531,504,7024.903722
478.373437,653,7038.110603
253.272442,410,7046.472852
-100,1,7046.582552
356.625043,514,7058.189812
-100,1,7058.308537
185.220899,361,7065.662452
-100,1,7065.783535
454.818648,614,7078.190372
-100,1,7078.339258
257.963152,413,7086.697867
333.61057,463,7097.321391
-100,1,7097.451711
148.01849,282,7103.214288
551.444115,610,7115.562929
150.97089,283,7121.40357
156.037187,289,7127.296102
142.364378,282,7133.080297
279.458255,459,7143.614031
358.701811,516,7154.061638
367.501092,524,7164.698225
460.21229,615,7177.152708
-100,1,7177.273085
148.957897,282,7184.216046
501.7666,588,7196.133318
268.177475,428,7204.826696
376.493784,548,7215.891784
-100,1,7216.022993
181.606891,369,7224.81764
269.970017,453,7234.033699
257.737104,419,7242.527259
347.199217,482,7252.301853
161.377635,319,7258.796906
460.427812,612,7272.38201
-100,1,7272.530428
158.689083,311,7278.884447
-100,1,7279.006329
139.116844,275,7284.650074
343.678969,479,7294.384958
-100,1,7294.515288
350.656196,505,7304.73906
168.755829,325,7312.642852
266.421588,426,7321.33959
363.706156,515,7331.785888
462.247956,621,7344.331753
489.024912,675,7359.150243
-100,1,7359.279402
467.352833,619,7371.794934
-100,1,7371.912031
353.027658,492,7381.880311
-100,1,7381.989685
193.686663,389,7389.934199
289.257198,474,7400.829965
-100,1,7400.950335
377.523818,535,7411.777312
-100,1,7411.929229
574.788884,659,7425.2534
188.744778,375,7432.927534
267.474914,428,7442.79164
474.607919,650,7455.921458
82.702029,184,7459.753329
442.943113,580,7471.510811
426.269813,655,7485.985357
-100,1,7486.095436
367.490238,443,7495.072187
367.198904,542,7506.027233
233.225907,341,7512.990653
353.194042,495,7524.217324
146.900281,281,7529.96915
-100,1,7530.099216
348.847535,488,7539.994421
468.367244,630,7552.771254
-100,1,7552.901214
401.689106,598,7566.277328
265.977766,428,7574.991468
150.698662,289,7580.92757
171.650707,320,7587.487952
153.034279,287,7593.323699
139.103033,285,7599.125417
137.251821,274,7604.709228
161.019746,317,7612.333596
252.068937,392,7620.288463
-100,1,7620.416768
355.253426,517,7630.882356
378.55673,541,7641.889
369.51942,437,7651.971004
154.454157,302,7658.11612
471.775183,639,7671.043528
482.285425,661,7684.40055
459.412232,625,7698.237672
-100,1,7698.366975
378.102111,556,7709.632675
290.251095,467,7719.077594
280.309736,461,7728.432868
-100,1,7728.555068
451.140977,610,7742.181129
116.398952,230,7746.925355
406.402181,597,7758.970567
177.756415,351,7766.093865
362.765967,517,7776.560928
260.213425,399,7785.902536
284.215231,454,7795.120392
152.472781,287,7801.042181
549.548269,806,7817.300532
273.40422,438,7827.515472
149.516663,284,7833.3198
253.915766,409,7841.643592
-100,1,7841.751439
535.651236,768,7857.243634
492.997434,580,7870.239302
159.839719,321,7876.77155
263.986377,433,7885.566238
409.11246,507,7895.843051
157.717896,314,7902.237584
-100,1,7902.356414
162.838102,313,7909.959035
379.718268,561,7921.327683
161.06723,321,7927.860045
190.585843,372,7935.413242
-100,1,7935.564954
269.075084,449,7944.688467
461.087126,606,7958.216738
147.364158,291,7964.199459
-100,1,7964.33124
251.177237,402,7972.504798
381.885686,560,7983.849927
210.100129,312,7990.241578
