#{"t_start": 1646376119.036609, "env_id": "HummingbirdHoverTaskEnvPPO-v3"}
r,l,t
38.620395,68,940.892875
34.174764,60,942.195829
0,1,942.30574
32.177315,57,943.537745
0,1,943.667255
38.68436,66,945.075946
0,1,945.18408
34.165876,59,946.498402
0,1,946.616848
35.641587,63,947.998924
0,1,948.118627
33.161365,59,949.419629
0,1,949.548801
36.165029,63,950.89993
32.675471,58,952.16868
37.174267,64,953.571811
0,1,953.681794
36.657242,64,955.081459
37.153045,67,956.52187
33.664642,62,957.911838
0,1,958.064193
39.122224,69,959.53327
0,1,959.654885
35.663243,62,960.982911
28.680351,55,962.203635
0,1,962.305797
32.687588,58,964.782339
38.128226,68,966.228605
31.185899,57,967.520076
0,1,967.638754
32.219096,58,968.909489
0,1,969.04132
35.186052,61,970.350368
33.16663,60,971.669028
34.1613,62,973.009807
0,1,973.141044
33.713444,58,974.389617
0,1,974.508053
34.660817,62,975.880794
0,1,975.994461
38.125828,69,977.462787
0,1,977.583833
34.162136,64,978.983463
0,1,979.13588
34.671843,60,980.425055
32.663136,59,981.726258
34.628008,63,983.105209
0,1,983.203838
32.644326,60,984.497167
0,1,984.627229
38.140094,68,986.066694
36.120487,64,987.457853
34.71877,62,988.790705
0,1,988.900513
36.659898,64,990.271886
41.18772,68,991.762489
31.675468,58,993.070959
0,1,993.180891
34.679226,61,994.520057
0,1,994.631218
33.215252,57,995.902698
0,1,996.022924
36.686742,64,997.425699
0,1,997.533386
33.662635,61,998.87553
0,1,999.025525
34.150494,61,1000.333457
0,1,1000.442524
37.130138,66,1001.876179
0,1,1001.987212
37.63184,69,1003.476714
33.245874,57,1004.717137
35.649243,66,1006.188942
35.116069,65,1007.62806
37.141176,68,1009.09973
33.163936,61,1010.419928
0,1,1010.541531
38.666829,66,1013.349921
37.626098,68,1014.821787
42.104515,74,1016.422878
0,1,1016.533957
33.172048,59,1017.804027
35.156714,63,1019.174711
0,1,1019.285149
35.681506,62,1020.646251
39.641129,69,1022.146555
0,1,1022.276283
38.664192,68,1023.728008
0,1,1023.877902
37.159238,65,1025.268155
0,1,1025.398866
32.661391,61,1026.697633
40.623624,72,1028.260074
0,1,1028.380646
31.684919,58,1029.669582
27.691063,55,1030.911336
32.135121,61,1032.301893
35.170498,62,1033.651731
0,1,1033.763175
32.676086,58,1035.014043
36.649579,65,1036.434993
0,1,1036.543091
37.650103,67,1038.016075
0,1,1038.144619
33.150879,62,1039.464887
38.658837,66,1040.896797
39.629567,71,1042.425158
41.15506,70,1043.926429
0,1,1044.049333
39.10633,72,1045.608611
0,1,1045.728462
37.636894,68,1047.198918
0,1,1047.331018
38.623575,69,1048.821123
0,1,1048.930123
34.674402,61,1050.261446
0,1,1050.371798
41.635679,72,1051.903282
0,1,1052.012133
36.12023,67,1053.482619
35.168933,63,1054.843623
31.21211,57,1056.125926
39.623281,69,1057.614679
0,1,1057.765523
46.054319,81,1060.775322
0,1,1060.897954
31.706072,56,1062.104929
32.66763,60,1063.439259
0,1,1063.55836
38.646421,68,1065.007968
0,1,1065.107867
30.687346,56,1066.349464
39.632256,72,1067.958992
0,1,1068.06679
42.074993,76,1069.718816
34.167414,63,1071.071499
36.615211,68,1072.541461
0,1,1072.691968
36.139561,67,1074.143704
34.1153,66,1075.613699
39.620528,71,1077.13579
